"Reach height, standing",Stature,"Eye height, standing",Shoulder height,"Fist height, standing","Thigh clearance, sitting","Elbow height, sitting","Popliteal height, sitting","Eye height, sitting",Sitting height,"Reach height, sitting",Breadth over the elbows,Shoulder breadth (bi-deltoid),Hip breadth,Elbow-finger tip length,Abdominal depth,Buttock-popliteal depth,Hand length,Hand width (with thumb),Body mass,"Cervical (c7) height, sitting","Cervical (c7)-backplane depth, sitting","Sacrum-backplane depth, sitting",Heel height,"Palm height, standing"
1813.0,1672.0,1541.0,552.0,739.0,111.0,244.0,477.0,724.0,455.0,975.0,507.0,440.0,360.0,486.0,272.0,486.0,190.0,85.0,61.1,606.0,84.0,22.0,22.0,745.0
1755.0,1625.0,1488.0,595.0,770.0,105.0,245.0,478.0,745.0,453.0,,471.0,419.0,340.0,446.0,311.0,514.0,171.0,77.0,62.0,574.0,36.0,62.0,25.0,
1756.0,1656.0,1541.0,624.0,739.0,125.0,245.0,454.0,800.0,416.0,,572.0,451.0,392.0,486.0,328.0,542.0,198.0,80.0,77.0,653.0,74.0,2.0,38.0,
1798.0,1651.0,1523.0,610.0,789.0,97.0,246.0,472.0,765.0,449.0,1060.0,494.0,454.0,397.0,446.0,331.0,487.0,176.0,70.0,76.4,661.0,84.0,28.0,23.0,821.0
1755.0,1764.0,1607.0,597.0,804.0,119.0,246.0,510.0,780.0,490.0,963.0,535.0,426.0,397.0,502.0,346.0,513.0,193.0,88.0,86.2,677.0,104.0,55.0,20.0,829.0
1754.0,1743.0,1596.0,622.0,831.0,131.0,246.0,519.0,738.0,499.0,,471.0,441.0,396.0,456.0,306.0,545.0,175.0,84.0,75.6,676.0,101.0,61.0,20.0,
,,,558.0,,100.0,247.0,493.0,699.0,463.0,,497.0,406.0,353.0,444.0,243.0,487.0,170.0,78.0,40.0,622.0,96.0,26.0,30.0,
1828.0,1781.0,1675.0,646.0,845.0,135.0,247.0,513.0,832.0,478.0,1140.0,492.0,463.0,435.0,502.0,358.0,499.0,195.0,91.0,91.0,692.0,,6.0,35.0,823.0
1694.0,1566.0,1472.0,580.0,755.0,111.0,248.0,450.0,721.0,410.0,,490.0,404.0,352.0,450.0,292.0,443.0,185.0,80.0,66.5,608.0,104.0,18.0,40.0,
1787.0,1697.0,1586.0,602.0,774.0,126.0,248.0,484.0,789.0,454.0,1093.0,470.0,425.0,393.0,492.0,292.0,474.0,193.0,85.0,77.5,662.0,91.0,28.0,30.0,797.0
1761.0,1655.0,1538.0,568.0,771.0,106.0,248.0,455.0,751.0,425.0,,384.0,403.0,328.0,467.0,333.0,534.0,180.0,83.0,67.3,610.0,69.0,35.0,30.0,
1698.0,1557.0,1457.0,590.0,734.0,109.0,249.0,445.0,743.0,417.0,1050.0,377.0,430.0,375.0,455.0,320.0,433.0,182.0,84.0,72.7,615.0,70.0,1.0,28.0,737.0
,,,635.0,,86.0,249.0,,742.0,,,482.0,417.0,341.0,520.0,325.0,550.0,211.0,82.0,66.0,681.0,135.0,56.0,40.0,
1810.0,1672.0,1568.0,595.0,802.0,102.0,250.0,490.0,745.0,457.0,,517.0,451.0,404.0,451.0,334.0,493.0,165.0,82.0,82.9,632.0,83.0,1.0,33.0,
1982.0,1699.0,1587.0,626.0,703.0,132.0,250.0,482.0,812.0,452.0,1130.0,588.0,478.0,375.0,512.0,358.0,505.0,200.0,97.0,87.0,679.0,64.0,30.0,30.0,704.0
,,,663.0,,103.0,251.0,533.0,786.0,493.0,,512.0,446.0,378.0,510.0,340.0,524.0,211.0,90.0,85.3,693.0,99.0,8.0,40.0,
1777.0,1697.0,1586.0,604.0,794.0,131.0,251.0,488.0,795.0,458.0,1090.0,432.0,404.0,354.0,485.0,257.0,529.0,197.0,87.0,62.5,661.0,89.0,41.0,30.0,796.0
,,,604.0,,127.0,252.0,402.0,774.0,372.0,,506.0,443.0,398.0,438.0,333.0,484.0,178.0,88.0,83.0,650.0,86.0,16.0,30.0,
1652.0,1649.0,1521.0,569.0,764.0,93.0,253.0,497.0,692.0,467.0,,492.0,426.0,383.0,462.0,333.0,478.0,168.0,86.0,69.6,626.0,94.0,14.0,30.0,
1687.0,1649.0,1525.0,624.0,822.0,116.0,253.0,468.0,758.0,433.0,,528.0,441.0,362.0,464.0,362.0,491.0,191.0,85.0,80.0,657.0,111.0,51.0,35.0,
1917.0,1722.0,1597.0,650.0,833.0,98.0,253.0,495.0,762.0,477.0,1128.0,531.0,443.0,390.0,492.0,318.0,510.0,196.0,78.0,77.0,690.0,115.0,27.0,18.0,845.0
1686.0,1691.0,1581.0,591.0,812.0,135.0,255.0,493.0,739.0,464.0,973.0,508.0,413.0,391.0,472.0,354.0,523.0,178.0,76.0,79.7,632.0,81.0,18.0,29.0,795.0
,,,610.0,,121.0,256.0,451.0,767.0,421.0,,448.0,408.0,375.0,445.0,294.0,465.0,175.0,80.0,65.3,651.0,86.0,47.0,30.0,
1779.0,1719.0,1581.0,644.0,798.0,122.0,256.0,458.0,792.0,433.0,1060.0,522.0,450.0,387.0,487.0,383.0,516.0,186.0,88.0,88.0,697.0,92.0,27.0,25.0,843.0
1671.0,1603.0,1506.0,580.0,769.0,100.0,257.0,460.0,727.0,440.0,997.0,510.0,442.0,415.0,455.0,379.0,477.0,173.0,78.0,85.0,612.0,95.0,37.0,20.0,789.0
,,,615.0,,101.0,258.0,518.0,748.0,493.0,,403.0,392.0,345.0,459.0,236.0,467.0,194.0,82.0,57.8,652.0,108.0,26.0,25.0,
,,,598.0,,93.0,258.0,463.0,756.0,442.0,,492.0,448.0,361.0,458.0,336.0,481.0,175.0,83.0,66.6,664.0,116.0,43.0,21.0,
1671.0,1617.0,1500.0,593.0,773.0,143.0,258.0,429.0,764.0,399.0,,577.0,494.0,460.0,481.0,403.0,501.0,185.0,81.0,102.8,644.0,96.0,31.0,30.0,
1849.0,1736.0,1586.0,629.0,827.0,128.0,261.0,510.0,731.0,488.0,1092.0,497.0,458.0,415.0,498.0,325.0,516.0,194.0,84.0,86.0,629.0,85.0,25.0,22.0,810.0
1816.0,1748.0,1601.0,584.0,837.0,111.0,261.0,486.0,733.0,451.0,960.0,475.0,410.0,348.0,477.0,266.0,552.0,193.0,83.0,58.0,642.0,91.0,22.0,35.0,862.0
,,,612.0,,158.0,263.0,498.0,722.0,458.0,,496.0,450.0,355.0,452.0,348.0,459.0,175.0,74.0,78.0,649.0,112.0,18.0,40.0,
1707.0,1578.0,1512.0,594.0,776.0,106.0,264.0,463.0,746.0,440.0,,432.0,403.0,373.0,462.0,295.0,452.0,173.0,82.0,63.0,608.0,86.0,8.0,23.0,
1706.0,1626.0,1492.0,598.0,759.0,117.0,264.0,494.0,697.0,469.0,,429.0,425.0,338.0,452.0,294.0,463.0,172.0,82.0,61.7,633.0,131.0,34.0,25.0,
1888.0,1733.0,1610.0,598.0,809.0,129.0,265.0,492.0,786.0,467.0,1130.0,480.0,418.0,382.0,481.0,304.0,530.0,192.0,86.0,72.4,640.0,42.0,48.0,25.0,819.0
1873.0,1822.0,1703.0,644.0,876.0,83.0,266.0,549.0,796.0,539.0,,425.0,418.0,353.0,496.0,268.0,504.0,198.0,87.0,56.2,684.0,94.0,34.0,10.0,
,,,576.0,,106.0,267.0,452.0,739.0,437.0,,420.0,398.0,334.0,442.0,265.0,459.0,184.0,76.0,51.5,637.0,86.0,26.0,15.0,
1666.0,1578.0,1460.0,595.0,743.0,116.0,267.0,409.0,743.0,389.0,1005.0,466.0,419.0,325.0,466.0,242.0,494.0,182.0,78.0,50.0,634.0,91.0,28.0,20.0,760.0
2075.0,1854.0,1776.0,669.0,867.0,106.0,268.0,557.0,809.0,517.0,1240.0,485.0,502.0,404.0,534.0,355.0,522.0,211.0,92.0,91.5,694.0,77.0,1.0,40.0,849.0
,1527.0,,588.0,677.0,123.0,269.0,412.0,723.0,387.0,,447.0,412.0,356.0,416.0,249.0,415.0,185.0,78.0,54.3,628.0,61.0,26.0,25.0,
1589.0,1554.0,1477.0,594.0,749.0,89.0,269.0,445.0,706.0,425.0,928.0,434.0,391.0,365.0,413.0,350.0,438.0,163.0,70.0,64.0,640.0,116.0,44.0,20.0,753.0
,1637.0,1520.0,604.0,730.0,108.0,270.0,471.0,785.0,451.0,,425.0,400.0,336.0,437.0,269.0,450.0,181.0,80.0,59.0,616.0,32.0,18.0,20.0,
1764.0,1657.0,1550.0,590.0,749.0,132.0,271.0,489.0,759.0,461.0,1092.0,474.0,406.0,383.0,470.0,288.0,466.0,179.0,81.0,71.0,626.0,86.0,14.0,28.0,763.0
,,,656.0,,120.0,271.0,492.0,853.0,462.0,,510.0,458.0,402.0,473.0,316.0,513.0,200.0,90.0,80.5,678.0,53.0,48.0,30.0,
1474.0,1543.0,1449.0,565.0,672.0,109.0,275.0,508.0,716.0,473.0,680.0,406.0,424.0,320.0,459.0,333.0,444.0,187.0,80.0,51.5,632.0,51.0,35.0,35.0,
1753.0,1726.0,1598.0,629.0,768.0,102.0,275.0,506.0,801.0,471.0,,525.0,451.0,372.0,484.0,351.0,492.0,183.0,88.0,78.4,669.0,108.0,18.0,35.0,
1867.0,1707.0,1577.0,623.0,798.0,125.0,275.0,482.0,786.0,462.0,1045.0,508.0,460.0,397.0,475.0,410.0,512.0,190.0,90.0,89.7,680.0,103.0,24.0,20.0,835.0
1924.0,1746.0,1612.0,638.0,801.0,128.0,275.0,486.0,839.0,454.0,1161.0,524.0,514.0,458.0,505.0,368.0,515.0,208.0,89.0,109.0,680.0,74.0,25.0,32.0,824.0
1862.0,1707.0,1618.0,647.0,793.0,129.0,279.0,499.0,778.0,464.0,,528.0,436.0,451.0,441.0,392.0,514.0,174.0,92.0,88.0,692.0,102.0,4.0,35.0,
,1570.0,1515.0,587.0,819.0,118.0,280.0,484.0,774.0,468.0,793.0,508.0,426.0,387.0,426.0,361.0,443.0,176.0,80.0,71.0,624.0,107.0,64.0,16.0,
1587.0,1549.0,1432.0,569.0,759.0,115.0,281.0,465.0,690.0,430.0,927.0,483.0,436.0,358.0,433.0,335.0,471.0,173.0,68.0,70.0,620.0,79.0,38.0,35.0,727.0
1898.0,1736.0,1605.0,642.0,861.0,146.0,281.0,478.0,801.0,443.0,1100.0,485.0,446.0,410.0,508.0,345.0,551.0,198.0,92.0,83.0,683.0,78.0,74.0,35.0,837.0
1410.0,,,595.0,,101.0,283.0,444.0,730.0,409.0,,452.0,431.0,294.0,416.0,263.0,480.0,166.0,74.0,43.6,619.0,41.0,25.0,35.0,
,,,603.0,,90.0,285.0,499.0,797.0,479.0,,411.0,411.0,343.0,463.0,,530.0,186.0,75.0,57.3,658.0,78.0,57.0,20.0,
,,,662.0,,148.0,288.0,468.0,758.0,448.0,,467.0,410.0,387.0,490.0,319.0,489.0,193.0,89.0,78.4,693.0,126.0,40.0,20.0,
1793.0,1620.0,1518.0,605.0,797.0,101.0,289.0,449.0,741.0,419.0,1020.0,438.0,382.0,332.0,442.0,345.0,529.0,176.0,72.0,59.0,626.0,67.0,45.0,30.0,796.0
1804.0,1703.0,1537.0,650.0,802.0,120.0,290.0,525.0,785.0,460.0,830.0,425.0,435.0,335.0,476.0,249.0,491.0,199.0,85.0,65.4,658.0,114.0,38.0,65.0,
1802.0,1711.0,1579.0,647.0,789.0,120.0,290.0,468.0,817.0,445.0,,513.0,434.0,403.0,471.0,306.0,493.0,183.0,86.0,84.7,699.0,76.0,31.0,23.0,
1896.0,1731.0,1618.0,630.0,820.0,117.0,296.0,462.0,801.0,432.0,1130.0,431.0,405.0,348.0,480.0,293.0,509.0,193.0,87.0,67.0,685.0,68.0,8.0,30.0,824.0
,,,657.0,,142.0,298.0,486.0,789.0,461.0,982.0,585.0,499.0,465.0,465.0,400.0,532.0,175.0,84.0,,712.0,116.0,14.0,25.0,
,,,611.0,,136.0,304.0,476.0,761.0,441.0,,464.0,400.0,365.0,464.0,298.0,530.0,193.0,86.0,75.0,658.0,96.0,18.0,35.0,
1774.0,1670.0,1535.0,632.0,741.0,125.0,305.0,468.0,783.0,438.0,,441.0,426.0,335.0,447.0,268.0,503.0,183.0,81.0,65.2,657.0,106.0,21.0,30.0,
1829.0,1745.0,1594.0,657.0,822.0,142.0,306.0,489.0,795.0,454.0,955.0,526.0,467.0,388.0,496.0,355.0,580.0,192.0,89.0,95.2,702.0,91.0,70.0,35.0,810.0
2056.0,1821.0,1705.0,665.0,855.0,134.0,308.0,510.0,853.0,482.0,1214.0,516.0,446.0,390.0,495.0,318.0,504.0,191.0,91.0,86.0,702.0,54.0,25.0,28.0,870.0
1790.0,1760.0,1648.0,646.0,822.0,126.0,308.0,464.0,761.0,439.0,1110.0,507.0,436.0,379.0,482.0,343.0,568.0,185.0,87.0,91.0,702.0,71.0,41.0,25.0,803.0
1445.0,,,,,,,,,,,,,,,,,,,70.0,,,,,
,,,428.0,,83.0,,414.0,568.0,413.0,810.0,421.0,337.0,317.0,416.0,259.0,405.0,172.0,76.0,32.6,496.0,84.0,76.0,1.0,
,,1195.0,453.0,,123.0,,430.0,566.0,395.0,,382.0,360.0,333.0,410.0,296.0,414.0,163.0,74.0,42.8,480.0,76.0,34.0,35.0,
,1434.0,,538.0,,91.0,,423.0,647.0,393.0,,405.0,396.0,314.0,371.0,305.0,427.0,149.0,72.0,45.0,562.0,98.0,11.0,30.0,
,,,439.0,,93.0,,489.0,539.0,454.0,870.0,481.0,363.0,328.0,421.0,236.0,427.0,167.0,72.0,41.3,451.0,96.0,16.0,35.0,
1584.0,1487.0,1399.0,475.0,637.0,82.0,,458.0,635.0,433.0,,400.0,362.0,343.0,414.0,310.0,443.0,165.0,77.0,50.7,513.0,71.0,44.0,25.0,
1527.0,1488.0,1388.0,512.0,675.0,146.0,,444.0,646.0,419.0,,414.0,408.0,354.0,425.0,169.0,455.0,172.0,73.0,54.0,551.0,31.0,36.0,25.0,
1411.0,1262.0,1117.0,443.0,626.0,89.0,,408.0,465.0,378.0,740.0,355.0,335.0,332.0,393.0,264.0,457.0,170.0,73.0,35.0,468.0,124.0,31.0,30.0,
,,,456.0,,91.0,,446.0,616.0,445.0,,500.0,347.0,317.0,440.0,260.0,470.0,176.0,74.0,41.5,502.0,90.0,26.0,1.0,
1638.0,1536.0,,479.0,704.0,108.0,,466.0,564.0,436.0,,348.0,366.0,364.0,432.0,314.0,502.0,165.0,63.0,48.0,551.0,112.0,28.0,30.0,
,,,503.0,,116.0,,459.0,651.0,444.0,920.0,437.0,362.0,385.0,463.0,313.0,503.0,171.0,72.0,64.0,578.0,81.0,21.0,15.0,
,,,471.0,,118.0,,502.0,566.0,467.0,,398.0,375.0,369.0,442.0,356.0,524.0,172.0,66.0,63.2,513.0,131.0,38.0,35.0,
1857.0,1636.0,1498.0,587.0,817.0,114.0,,440.0,743.0,397.0,1010.0,461.0,420.0,388.0,430.0,298.0,527.0,175.0,78.0,64.1,637.0,94.0,6.0,43.0,762.0
,,,416.0,,92.0,,461.0,508.0,441.0,890.0,402.0,342.0,351.0,414.0,302.0,528.0,162.0,70.0,39.6,452.0,166.0,86.0,20.0,
,,,423.0,,144.0,125.0,427.0,539.0,387.0,820.0,441.0,382.0,336.0,441.0,393.0,542.0,172.0,73.0,52.5,441.0,11.0,131.0,40.0,
,,,407.0,,144.0,131.0,445.0,571.0,415.0,,464.0,363.0,361.0,424.0,330.0,515.0,163.0,74.0,55.2,467.0,101.0,68.0,30.0,
1502.0,1450.0,1380.0,467.0,662.0,84.0,138.0,443.0,637.0,398.0,714.0,400.0,341.0,,431.0,242.0,454.0,178.0,73.0,35.5,527.0,59.0,51.0,45.0,
,,,495.0,,118.0,138.0,432.0,632.0,404.0,,398.0,388.0,422.0,432.0,308.0,469.0,174.0,60.0,67.6,526.0,120.0,35.0,28.0,
,,,485.0,,90.0,140.0,440.0,568.0,410.0,,433.0,390.0,356.0,411.0,298.0,469.0,161.0,65.0,52.0,521.0,148.0,42.0,30.0,
,,,486.0,,109.0,142.0,487.0,,447.0,,310.0,,306.0,428.0,321.0,522.0,171.0,73.0,53.5,491.0,182.0,71.0,40.0,
,,,523.0,,120.0,143.0,502.0,633.0,467.0,,484.0,397.0,401.0,473.0,323.0,512.0,181.0,78.0,68.9,581.0,121.0,,35.0,
1518.0,1485.0,1397.0,510.0,690.0,111.0,145.0,463.0,658.0,423.0,900.0,388.0,390.0,354.0,440.0,279.0,465.0,182.0,77.0,55.5,547.0,98.0,6.0,40.0,661.0
,,,517.0,,139.0,145.0,447.0,672.0,422.0,840.0,458.0,388.0,373.0,456.0,307.0,527.0,173.0,75.0,57.0,553.0,86.0,6.0,25.0,
,,,490.0,,108.0,146.0,451.0,534.0,406.0,720.0,464.0,368.0,346.0,447.0,324.0,555.0,178.0,78.0,45.2,523.0,151.0,91.0,45.0,
1248.0,1493.0,1375.0,505.0,647.0,99.0,147.0,472.0,604.0,437.0,,336.0,364.0,344.0,433.0,265.0,470.0,180.0,72.0,43.8,515.0,82.0,64.0,35.0,
,,,562.0,,129.0,147.0,472.0,668.0,434.0,,383.0,391.0,394.0,448.0,304.0,475.0,171.0,74.0,59.2,624.0,106.0,21.0,38.0,
,,,484.0,,115.0,148.0,421.0,554.0,376.0,730.0,371.0,327.0,318.0,371.0,381.0,509.0,138.0,62.0,43.5,493.0,98.0,66.0,45.0,
,,,460.0,,104.0,148.0,480.0,586.0,445.0,,432.0,350.0,335.0,418.0,332.0,514.0,172.0,68.0,46.5,456.0,38.0,98.0,35.0,
,,,482.0,,88.0,149.0,437.0,640.0,394.0,,387.0,350.0,347.0,415.0,274.0,492.0,174.0,73.0,52.0,541.0,81.0,41.0,43.0,
1606.0,1495.0,1417.0,517.0,736.0,99.0,149.0,462.0,622.0,422.0,,385.0,364.0,348.0,444.0,292.0,492.0,164.0,73.0,44.0,556.0,118.0,48.0,40.0,
,1231.0,1121.0,421.0,583.0,89.0,150.0,373.0,534.0,354.0,,412.0,335.0,378.0,362.0,245.0,384.0,150.0,62.0,32.0,416.0,65.0,20.0,19.0,
1507.0,1467.0,1317.0,478.0,668.0,109.0,150.0,475.0,,440.0,,362.0,344.0,342.0,416.0,,492.0,172.0,68.0,51.2,509.0,121.0,91.0,35.0,
,1568.0,1461.0,496.0,723.0,122.0,150.0,452.0,687.0,407.0,,397.0,354.0,334.0,456.0,283.0,494.0,185.0,75.0,47.6,543.0,72.0,29.0,45.0,
,1573.0,1472.0,567.0,758.0,117.0,150.0,454.0,714.0,404.0,800.0,385.0,374.0,315.0,454.0,288.0,499.0,183.0,71.0,54.3,603.0,104.0,10.0,50.0,
,,,509.0,,114.0,150.0,465.0,634.0,445.0,,413.0,381.0,360.0,460.0,360.0,511.0,161.0,76.0,54.0,538.0,94.0,91.0,20.0,
,,,463.0,,125.0,151.0,422.0,574.0,392.0,,480.0,393.0,421.0,441.0,358.0,443.0,189.0,82.0,69.0,519.0,84.0,3.0,30.0,
1676.0,1511.0,1415.0,672.0,657.0,128.0,151.0,458.0,637.0,438.0,970.0,395.0,346.0,366.0,451.0,301.0,516.0,182.0,78.0,54.0,529.0,46.0,,20.0,663.0
,,1297.0,473.0,640.0,128.0,152.0,432.0,622.0,387.0,,445.0,412.0,485.0,391.0,420.0,470.0,,74.0,78.2,513.0,61.0,28.0,45.0,
1703.0,1444.0,1369.0,494.0,,98.0,153.0,470.0,591.0,435.0,,392.0,332.0,322.0,422.0,251.0,431.0,175.0,69.0,39.4,535.0,108.0,31.0,35.0,
1576.0,1441.0,1343.0,508.0,629.0,130.0,153.0,401.0,638.0,361.0,1030.0,510.0,417.0,381.0,433.0,329.0,451.0,177.0,76.0,58.5,539.0,88.0,22.0,40.0,610.0
,,,472.0,,98.0,154.0,464.0,671.0,429.0,,412.0,390.0,338.0,412.0,290.0,433.0,161.0,74.0,51.3,542.0,24.0,66.0,35.0,
,,,504.0,,116.0,154.0,451.0,671.0,411.0,880.0,350.0,350.0,304.0,433.0,268.0,501.0,165.0,73.0,40.5,559.0,91.0,16.0,40.0,
1597.0,1517.0,1440.0,495.0,705.0,128.0,155.0,440.0,674.0,400.0,810.0,435.0,367.0,368.0,439.0,299.0,498.0,172.0,77.0,57.0,555.0,136.0,3.0,40.0,
1630.0,1463.0,1344.0,513.0,667.0,117.0,156.0,443.0,610.0,408.0,850.0,434.0,353.0,350.0,425.0,275.0,462.0,167.0,69.0,51.1,532.0,114.0,1.0,35.0,670.0
1470.0,1431.0,1281.0,510.0,623.0,120.0,157.0,410.0,641.0,385.0,740.0,448.0,343.0,325.0,421.0,276.0,454.0,173.0,74.0,45.0,526.0,74.0,9.0,25.0,
1470.0,1426.0,1287.0,462.0,707.0,100.0,157.0,446.0,565.0,403.0,890.0,356.0,338.0,291.0,418.0,257.0,458.0,164.0,63.0,39.7,518.0,145.0,2.0,43.0,
,,,539.0,,104.0,157.0,465.0,645.0,435.0,,387.0,320.0,313.0,436.0,273.0,483.0,171.0,76.0,43.0,537.0,71.0,70.0,30.0,
1610.0,1495.0,1377.0,470.0,684.0,132.0,157.0,395.0,622.0,355.0,820.0,388.0,376.0,335.0,425.0,281.0,509.0,162.0,68.0,52.2,530.0,26.0,28.0,40.0,
1544.0,1492.0,1161.0,526.0,701.0,106.0,158.0,483.0,635.0,448.0,920.0,385.0,361.0,321.0,442.0,265.0,497.0,180.0,72.0,50.0,541.0,104.0,11.0,35.0,688.0
,,,481.0,,116.0,158.0,468.0,663.0,441.0,,349.0,350.0,349.0,433.0,306.0,509.0,177.0,67.0,50.8,529.0,38.0,35.0,27.0,
,,,522.0,,123.0,158.0,454.0,618.0,404.0,,426.0,395.0,411.0,451.0,328.0,555.0,171.0,75.0,72.3,544.0,111.0,31.0,50.0,
,,,557.0,,104.0,159.0,504.0,626.0,474.0,920.0,393.0,368.0,330.0,436.0,294.0,437.0,164.0,73.0,42.1,584.0,91.0,,30.0,
,,,473.0,,118.0,159.0,446.0,591.0,401.0,870.0,414.0,376.0,419.0,434.0,338.0,482.0,180.0,70.0,61.0,514.0,64.0,51.0,45.0,
,,,496.0,,109.0,159.0,442.0,669.0,382.0,,480.0,408.0,361.0,430.0,310.0,500.0,172.0,70.0,58.5,541.0,76.0,16.0,60.0,
,,,525.0,,128.0,161.0,464.0,581.0,424.0,,445.0,359.0,396.0,416.0,331.0,492.0,168.0,75.0,59.7,545.0,116.0,31.0,40.0,
1600.0,1574.0,1447.0,503.0,742.0,119.0,161.0,469.0,642.0,439.0,970.0,458.0,366.0,431.0,443.0,362.0,513.0,173.0,78.0,69.6,558.0,90.0,11.0,30.0,731.0
,1556.0,,555.0,,128.0,161.0,475.0,622.0,440.0,,404.0,412.0,345.0,464.0,300.0,535.0,181.0,74.0,51.9,569.0,122.0,31.0,35.0,
,1540.0,1433.0,500.0,718.0,112.0,163.0,461.0,670.0,406.0,,461.0,387.0,331.0,421.0,303.0,475.0,173.0,77.0,54.9,547.0,81.0,15.0,55.0,
1454.0,1358.0,1255.0,485.0,561.0,98.0,164.0,424.0,629.0,404.0,842.0,420.0,368.0,351.0,392.0,306.0,388.0,151.0,63.0,46.5,555.0,84.0,28.0,20.0,603.0
1617.0,1490.0,1390.0,512.0,657.0,103.0,164.0,463.0,641.0,428.0,,456.0,365.0,362.0,437.0,297.0,449.0,170.0,76.0,54.6,553.0,90.0,21.0,35.0,
,,,548.0,,114.0,164.0,466.0,669.0,421.0,,423.0,386.0,397.0,415.0,302.0,485.0,171.0,80.0,58.5,591.0,104.0,9.0,45.0,
,,,440.0,,107.0,164.0,425.0,544.0,400.0,,448.0,358.0,357.0,406.0,335.0,506.0,166.0,66.0,,479.0,96.0,24.0,25.0,
,,,502.0,,92.0,166.0,461.0,610.0,460.0,,365.0,360.0,348.0,435.0,235.0,449.0,182.0,77.0,45.5,536.0,115.0,31.0,1.0,
,,,482.0,,99.0,166.0,458.0,555.0,408.0,870.0,356.0,345.0,331.0,403.0,319.0,544.0,150.0,73.0,46.3,549.0,62.0,86.0,50.0,
,,,493.0,,113.0,168.0,432.0,650.0,392.0,,454.0,410.0,330.0,427.0,325.0,491.0,170.0,55.0,52.5,555.0,121.0,86.0,40.0,
,,,494.0,,108.0,168.0,478.0,546.0,433.0,850.0,403.0,346.0,344.0,452.0,262.0,522.0,168.0,71.0,46.1,534.0,94.0,34.0,45.0,
,1431.0,,496.0,,127.0,169.0,417.0,622.0,380.0,780.0,426.0,354.0,324.0,410.0,298.0,468.0,164.0,74.0,44.2,530.0,67.0,24.0,37.0,
1559.0,1477.0,1343.0,508.0,685.0,93.0,169.0,473.0,577.0,445.0,,433.0,385.0,399.0,420.0,305.0,470.0,162.0,79.0,53.3,525.0,86.0,32.0,28.0,
,,,498.0,,109.0,169.0,422.0,605.0,380.0,,398.0,357.0,320.0,397.0,312.0,473.0,163.0,75.0,41.8,520.0,88.0,74.0,42.0,
,1532.0,,501.0,,92.0,169.0,457.0,676.0,423.0,,386.0,363.0,310.0,434.0,209.0,473.0,189.0,74.0,40.0,550.0,98.0,19.0,34.0,
1625.0,1478.0,1386.0,515.0,732.0,134.0,169.0,464.0,662.0,424.0,,447.0,394.0,465.0,463.0,354.0,478.0,169.0,71.0,84.0,561.0,91.0,11.0,40.0,
1526.0,1438.0,1325.0,473.0,688.0,116.0,170.0,436.0,565.0,402.0,,390.0,359.0,356.0,409.0,240.0,484.0,156.0,72.0,48.5,525.0,117.0,6.0,34.0,
,,,533.0,,137.0,170.0,466.0,655.0,426.0,,435.0,392.0,393.0,440.0,347.0,522.0,178.0,76.0,65.3,572.0,66.0,26.0,40.0,
1562.0,1489.0,1403.0,485.0,652.0,132.0,170.0,445.0,615.0,406.0,,344.0,363.0,358.0,438.0,282.0,527.0,176.0,73.0,54.0,505.0,105.0,13.0,39.0,
1599.0,1476.0,1395.0,513.0,778.0,90.0,171.0,466.0,661.0,421.0,790.0,353.0,350.0,300.0,428.0,219.0,470.0,172.0,70.0,36.2,521.0,50.0,28.0,45.0,755.0
1605.0,1490.0,1401.0,506.0,715.0,112.0,171.0,461.0,664.0,416.0,950.0,435.0,372.0,364.0,428.0,284.0,473.0,180.0,79.0,55.0,535.0,78.0,31.0,45.0,677.0
1617.0,1526.0,1430.0,529.0,682.0,109.0,171.0,503.0,616.0,468.0,,411.0,388.0,342.0,436.0,257.0,504.0,168.0,73.0,44.3,539.0,71.0,4.0,35.0,
,1438.0,,511.0,,120.0,172.0,,637.0,,,432.0,377.0,359.0,424.0,303.0,491.0,160.0,75.0,49.7,550.0,86.0,44.0,45.0,
1704.0,1590.0,1510.0,550.0,729.0,127.0,172.0,464.0,753.0,424.0,1050.0,425.0,380.0,365.0,461.0,288.0,507.0,179.0,78.0,57.5,608.0,86.0,26.0,40.0,
1618.0,1465.0,1368.0,510.0,708.0,123.0,173.0,408.0,634.0,383.0,1000.0,397.0,355.0,345.0,410.0,283.0,423.0,167.0,74.0,50.0,528.0,80.0,1.0,25.0,694.0
1549.0,1459.0,,484.0,684.0,98.0,173.0,473.0,555.0,446.0,,428.0,354.0,336.0,433.0,299.0,503.0,164.0,65.0,45.0,505.0,129.0,31.0,27.0,
,,,548.0,,119.0,173.0,454.0,680.0,429.0,980.0,478.0,393.0,368.0,446.0,353.0,503.0,176.0,80.0,68.4,585.0,96.0,34.0,25.0,
1518.0,1486.0,1279.0,522.0,745.0,153.0,173.0,427.0,593.0,382.0,,468.0,408.0,438.0,442.0,390.0,507.0,172.0,78.0,80.4,578.0,88.0,,45.0,
1668.0,1483.0,1386.0,502.0,664.0,115.0,173.0,470.0,615.0,428.0,899.0,461.0,400.0,331.0,431.0,288.0,512.0,173.0,74.0,53.8,553.0,134.0,41.0,42.0,670.0
,,,515.0,,107.0,173.0,423.0,648.0,398.0,,400.0,374.0,348.0,455.0,340.0,520.0,179.0,78.0,50.8,534.0,55.0,78.0,25.0,
